802 2684
546 165 278
656 769 32
771 361 241
700 468 686
690 713 582
722 744 244
149 514 954
110 287 646
264 718 386
502 82 402
708 345 642
499 349 931
562 124 643
27 792 346
789 32 406
251 430 371
779 792 996
229 385 975
461 342 992
191 594 422
616 573 66
508 143 218
657 257 278
71 75 673
128 87 284
606 687 652
160 426 390
792 93 905
134 173 309
364 583 332
552 708 503
565 292 428
479 3 969
533 1 825
145 768 425
525 187 44
626 369 200
581 392 199
278 15 529
399 324 990
661 554 580
256 283 256
210 391 273
144 136 833
662 40 408
190 709 657
751 356 981
323 351 28
610 678 476
285 217 988
201 569 958
770 174 113
500 2 630
114 428 503
470 563 166
228 337 840
624 91 788
118 423 961
205 341 594
22 485 866
360 468 255
167 277 398
170 613 190
107 463 291
490 476 932
595 536 963
464 675 447
272 542 220
264 150 164
483 425 753
163 375 536
683 609 867
343 304 123
415 608 961
696 31 164
326 209 980
533 323 117
684 781 830
111 693 46
507 567 901
198 540 742
726 516 619
314 253 666
199 669 760
462 502 966
190 304 802
528 668 537
426 245 211
695 801 212
709 170 825
62 17 59
42 144 691
165 75 724
72 442 110
756 286 538
570 441 872
346 42 559
193 474 80
156 705 357
410 44 392
530 150 241
521 480 399
323 373 378
365 506 689
209 791 488
544 688 865
401 72 150
599 263 647
484 37 113
429 273 344
129 90 700
458 209 965
360 605 662
771 413 611
342 251 395
504 268 267
483 398 354
573 525 412
746 36 759
244 381 229
725 293 874
772 157 178
67 384 32
300 199 125
285 648 202
42 121 881
102 187 452
192 150 212
372 443 880
727 792 264
127 233 858
91 475 453
228 209 739
744 348 559
119 769 753
172 462 121
274 564 941
265 85 626
268 18 785
793 499 786
79 169 832
472 187 535
490 721 536
451 318 98
343 225 593
172 577 658
744 76 768
43 555 298
697 793 270
429 448 301
759 790 624
493 290 634
531 52 105
113 745 837
629 488 453
507 314 748
170 592 464
277 736 257
580 636 799
307 160 196
88 138 955
130 344 250
174 377 454
208 7 166
649 180 134
481 488 754
16 385 781
45 740 779
327 663 191
158 313 999
340 431 718
615 89 760
534 727 341
498 720 305
229 349 789
79 356 121
725 177 402
798 66 794
215 580 907
464 192 742
573 382 806
277 310 592
16 448 601
642 251 423
482 596 771
665 720 785
734 104 433
19 72 695
601 665 75
448 669 948
11 292 601
294 260 183
778 60 113
781 23 705
777 379 886
609 586 406
790 393 15
489 59 341
707 350 847
383 177 709
633 473 530
214 62 788
201 742 700
131 448 15
531 468 505
124 734 661
446 26 693
561 676 828
36 760 650
474 248 402
530 520 499
276 108 666
724 528 487
723 198 673
677 498 186
799 676 924
203 775 766
498 610 499
275 432 175
119 528 497
273 200 329
709 117 660
26 769 985
483 65 409
40 286 745
795 622 605
134 69 126
158 592 377
485 353 186
697 366 522
460 57 377
736 727 743
447 474 382
428 130 762
307 552 918
574 138 424
517 208 491
459 414 303
65 250 240
529 238 67
77 560 413
516 644 585
576 657 83
165 215 381
774 396 652
625 179 279
385 172 120
794 439 903
371 596 430
655 159 18
447 791 233
374 705 14
591 306 354
776 432 529
801 432 233
759 711 8
138 79 352
251 535 843
654 725 619
235 357 505
178 132 693
502 413 734
531 777 426
768 320 501
330 742 614
250 229 103
415 470 328
755 79 812
718 201 805
177 741 255
396 283 497
189 325 863
673 699 696
166 517 86
303 795 737
535 519 399
425 516 482
618 774 909
635 336 289
570 292 870
381 675 917
59 393 146
89 461 376
489 533 695
65 514 257
280 681 820
388 290 568
177 331 91
663 796 983
715 406 48
800 199 507
596 735 779
327 299 74
417 8 116
549 72 716
337 147 688
500 359 606
365 793 726
784 67 844
135 395 749
618 406 336
301 452 622
222 446 424
201 265 994
519 705 736
262 122 557
261 149 921
446 573 218
621 263 437
82 340 641
33 317 902
343 13 66
554 340 835
716 694 121
350 299 468
341 134 507
230 4 114
245 737 398
726 312 499
195 114 643
539 607 630
387 176 401
618 727 214
329 795 252
340 474 367
760 294 76
535 49 219
398 751 379
171 76 53
723 141 152
493 249 944
149 16 615
322 425 403
326 704 106
52 144 376
433 635 806
86 143 212
266 428 46
432 541 314
444 270 468
407 357 962
29 592 37
251 139 1000
461 297 240
308 163 341
144 565 657
542 407 660
31 235 26
606 541 368
789 739 86
150 119 596
774 81 785
627 527 923
